round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_auprc,fed_brier,fed_f1_best,fed_auprc_lift,fed_f1_best_threshold,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
17.0,0.6399872479534187,0.6238785778966036,62.23632,62.23632,1.0,0.2945480366680239,0.11486656596173211,0.26657040398830417,0.21891967593526723,0.32186688416412573,2.325822248904673,0.5425489785117805,0.34647288276229626,0.6932790805158382,0.6549114739085102,0.21513090933476012,1.8888360749325448,0.2690630649792619,0.279520295202952,0.5638032555580139,0.3456493753978678,0.22215382664296973,0.11389601892395189,0.005949505854959607,1.6550146517110988,0.0042856938995445,0.007666928716419678,0.004171298487308544
18.0,0.6426371890582127,0.7002313189231806,65.89728,65.89728,1.0,0.30065816270508117,0.11486656596173211,0.26603390109961467,0.20270039853846913,0.32221025971391926,2.319016020784758,0.5317796848260414,0.31955879673780074,0.6943802847594419,0.6585942109178322,0.21852716690435792,1.9186550062848817,0.27614261785116057,0.2804340454391319,0.5692248940467834,0.31867108536454175,0.20616441044263767,0.11389601892395189,0.005639899049232933,1.6567099724525178,0.0039655857354054455,0.0073905960644578324,0.0037597906833810304
19.0,0.6425842974022293,0.7991569809805974,69.55824,69.55824,1.0,0.30345157372286313,0.11486656596173211,0.27202429187549654,0.20938226109561747,0.3276647517534971,2.374907445563558,0.541702973347791,0.33392631894817865,0.6985150331436607,0.6574142236188814,0.21755888843235574,1.9101535812030386,0.27448638318203533,0.2799548459925818,0.553764820098877,0.33317154948476596,0.21299929704913825,0.11389601892395189,0.005512944772489283,1.7005230545146333,0.0035599629414761118,0.0075720959712584565,0.004244924609905288
20.0,0.6402120619634633,0.705982695461213,73.2192,73.2192,1.0,0.296197345851549,0.11486656596173211,0.27472444562754883,0.2161203986586036,0.32456733364816825,2.393802264916837,0.5482975875551758,0.34311852468625986,0.6974271833686856,0.6576674715550361,0.21827531784635693,1.9164437871362199,0.27302082173477343,0.2803834303320781,0.5807230472564697,0.3423988460512735,0.2197779128144376,0.11389601892395189,0.005461474733959783,1.768207046407042,0.0033463249276148603,0.007713756927219452,0.00323325613452006
21.0,0.6437704170186016,0.7890491434402147,76.88016,76.88016,1.0,0.3003109216802562,0.11486656596173211,0.2755788113691088,0.21507094778254826,0.32554572643354407,2.4023993629660665,0.5671721067812296,0.33983620093227535,0.6991873892083104,0.6580223575008499,0.21870401224176506,1.9202076974068183,0.26989235378981247,0.2823529411764706,0.556541919708252,0.3392305366645805,0.21923289863508721,0.11389601892395189,0.005047290894084553,1.713214117940879,0.003079705577716727,0.007158888311956364,0.003556944926540951
22.0,0.6405384507467426,0.8531580437723493,80.54112,80.54112,1.0,0.301122214812509,0.11486656596173211,0.2846462039587095,0.2090278847442674,0.3300047483494784,2.481554464892529,0.5430666166137291,0.33152752355784965,0.703326578087621,0.6558064882573023,0.21521283438547786,1.8895553718095712,0.2687854710556186,0.28156606851549754,0.5687946081161499,0.33025300506930055,0.21346275621629052,0.11389601892395189,0.004959636271963242,1.7649273630613607,0.0029522905429419793,0.007119908808027212,0.004076448816972439
23.0,0.6435005141445411,1.0334512927835806,84.20208,84.20208,1.0,0.30320933747965834,0.11486656596173211,0.2876012052906683,0.20812360500826071,0.3351600597617919,2.5060470669556016,0.5518760868467294,0.32993490552864513,0.7051623665274738,0.6545637787985445,0.21456242931848402,1.8838448555585323,0.2719378427787934,0.2808540183995834,0.587162971496582,0.3290679175395445,0.2132744529969427,0.11389601892395189,0.004892243640612277,1.8224777184332197,0.0029251849234329997,0.007017029025259163,0.005082456259963006
24.0,0.6411206413698093,0.9384639691335572,87.86304,87.86304,1.0,0.30214852377210016,0.11486656596173211,0.2899451983064155,0.20385973696072845,0.33385001433490086,2.5285955355602763,0.57035048995711,0.32073295258599555,0.7062432273188837,0.6548115802726433,0.2135892355315318,1.8753002743155127,0.2719508028698326,0.2777932571747005,0.5410449504852295,0.31960076365493434,0.20957993147676154,0.11389601892395189,0.004648771735584416,1.8102568368103675,0.002767589172734148,0.006689270210223861,0.004423950453388633
25.0,0.6492317724497952,1.2176237476111074,91.524,91.524,1.0,0.2991808863903892,0.11486656596173211,0.2900819414892259,0.21177117579858806,0.3352695257324972,2.526456713524997,0.5801393114131653,0.3330894581431219,0.7076547536063088,0.6522718724268918,0.21463670339793445,1.8844969773811575,0.2669435942282466,0.28088467614533963,0.5736623406410217,0.3315594609577157,0.2175024607809675,0.11389601892395189,0.0047302729176650375,1.9166213214102754,0.002615875298972098,0.0070317205107258505,0.004144208673548977
26.0,0.6411771360065982,1.3897386295462533,95.18496,95.18496,1.0,0.30632861209010925,0.11486656596173211,0.29252140523640907,0.20857445183675513,0.3371687764380423,2.5472183635061167,0.5810791517102346,0.32950190850510097,0.7080588364972334,0.6519892587736605,0.21234552452748834,1.8643805686419204,0.26921338155515373,0.27809117243482234,0.5590163469314575,0.32820851517231586,0.2143536664551312,0.11389601892395189,0.004367231429250757,1.8473244089936998,0.002483462652503094,0.006420299355951347,0.0032705852825222754
