round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_auroc,fed_f1,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6478962587720061,0.237464840159676,4.742955,32.85504,0.9971592150692714,0.11512557436898088,1.9831226885094968,0.29883730635063777,0.5042838970961424,0.2264904845477314,0.6568293344605707,0.28134223835787536,0.33654141419802186,0.21140703837311683,0.6548465053968415,0.20029368771273376,1.7585661869926235,0.20939989629001085,0.27198448968286937,0.5292894840240479,0.4052773274822909,0.2641949671719121,0.11389601892395189,0.01348649922239247,0.628428619413171,0.008869556890528903,0.018969250702548374
22.0,0.6479490980469758,0.27140972970684,4.742955,32.85504,0.0,0.11512557436898088,2.0894209645492094,0.30365222345177406,0.5417787879039486,0.2379882537369164,0.6668454884288533,0.2832324275713893,0.33213538002163445,0.21171774778862507,0.6548465053968415,0.20029368771273376,1.7585661869926235,0.20939989629001085,0.27198448968286937,0.5292894840240479,0.4052773274822909,0.2641949671719121,0.11389601892395189,0.0,0.0,,
23.0,0.634073612466412,0.33827437558491236,4.742955,32.85504,0.0,0.11512557436898088,2.187092362830387,0.3159846014064466,0.5439722876067937,0.24835483101587408,0.6748964924132436,0.29254063919295664,0.33318374802840844,0.21042293753586497,0.6548465053968415,0.20029368771273376,1.7585661869926235,0.20939989629001085,0.27198448968286937,0.5292894840240479,0.4052773274822909,0.2641949671719121,0.11389601892395189,0.0,0.0,,
24.0,0.6188598994599335,0.4514478354559216,4.742955,32.85504,0.0,0.11512557436898088,2.25436506244001,0.3218339712057945,0.561214640801298,0.2556088955543905,0.684071341791834,0.294041259892431,0.31695078580759317,0.20497811843593455,0.6548465053968415,0.20029368771273376,1.7585661869926235,0.20939989629001085,0.27198448968286937,0.5292894840240479,0.4052773274822909,0.2641949671719121,0.11389601892395189,0.0,0.0,,
25.0,0.6484427883866329,0.25961227062316117,5.26995,36.5056,0.9971592150692714,0.11512557436898088,1.999659741279691,0.3005088609981831,0.5030520955821585,0.22829240418386434,0.6572642823796832,0.28122302296730983,0.334433161475896,0.21026439277311282,0.6569656811147166,0.21092309326751754,1.8518917101777754,0.21000331235508446,0.27441188066763045,0.5302551984786987,0.40650983037403343,0.2649343190387713,0.11389601892395189,0.010585159913598171,0.5352805235306732,0.007193558075771554,0.014729117038544839
26.0,0.6459985985267044,0.286848111336131,5.26995,36.5056,0.0,0.11512557436898088,2.067799465196475,0.30716377315668425,0.5329102186662341,0.2354322844842346,0.6649303045873282,0.2908547828472812,0.3190064341539875,0.20384049864547604,0.6569656811147166,0.21092309326751754,1.8518917101777754,0.21000331235508446,0.27441188066763045,0.5302551984786987,0.40650983037403343,0.2649343190387713,0.11389601892395189,0.0,0.0,,
27.0,0.6308681935298595,0.3317519569382347,5.26995,36.5056,0.0,0.11512557436898088,2.174112846105066,0.3099114942334128,0.5459509534484496,0.2470041669111094,0.6719696239315311,0.28583766499086827,0.3286805126494552,0.20857737382602623,0.6569656811147166,0.21092309326751754,1.8518917101777754,0.21000331235508446,0.27441188066763045,0.5302551984786987,0.40650983037403343,0.2649343190387713,0.11389601892395189,0.0,0.0,,
28.0,0.615997405484592,0.4216971195956198,5.26995,36.5056,0.0,0.11512557436898088,2.2678943913169967,0.31946150205990437,0.5304929964296419,0.257445749883131,0.6834264825517632,0.2987410712062376,0.31682380384779574,0.2015138467237603,0.6569656811147166,0.21092309326751754,1.8518917101777754,0.21000331235508446,0.27441188066763045,0.5302551984786987,0.40650983037403343,0.2649343190387713,0.11389601892395189,0.0,0.0,,
29.0,0.6454547213167391,0.2912205828307845,5.796945,40.15616,0.9971592150692714,0.11512557436898088,2.0146124619635226,0.29960574814419594,0.501005435861094,0.22994300685039,0.6573995161841297,0.27861515672866194,0.33254352150704275,0.20932562770240298,0.6565789948581884,0.21050258502582878,1.8481996738303985,0.20886551465063863,0.2740594059405941,0.530647337436676,0.40689373270897367,0.2652828206394265,0.11389601892395189,0.009805922025095868,0.5301703825825825,0.006225552395357961,0.014315648328385708
30.0,0.6433362403460322,0.3172406350129179,5.796945,40.15616,0.0,0.11512557436898088,2.099741267181926,0.30567818768909366,0.5567321303155353,0.23933651538222503,0.6659494443501041,0.282676704367138,0.33180041267906074,0.2131706168138925,0.6565789948581884,0.21050258502582878,1.8481996738303985,0.20886551465063863,0.2740594059405941,0.530647337436676,0.40689373270897367,0.2652828206394265,0.11389601892395189,0.0,0.0,,
