round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_f1_best_threshold,fed_auroc,fed_f1,fed_auprc,fed_f1_best,fed_brier,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6444057246077848,0.5187647109714019,40.27056,40.27056,1.0,2.1822256668115014,0.11369216241737486,0.553191616952063,0.6763899626400981,0.27755966685004707,0.24754629526656555,0.30381211244527867,0.20759998506641633,0.32968988576502334,0.6651634849707012,0.2291130262767494,2.011598196682604,0.2819339680969457,0.28641171684296174,0.5152118802070618,0.3290902050114061,0.20882003504150792,0.11389601892395189,0.006913439592275321,1.388850711438863,0.005703472325425526,0.00800632002174583,0.0050545929810049
12.0,0.6422649082028725,0.5552232837078873,43.93152,43.93152,1.0,2.1893665312373707,0.11369216241737486,0.5615350183841753,0.6771190870008941,0.276371045723894,0.24819547206515846,0.30382277310264033,0.21631070985332693,0.3424327771455228,0.6643748146759714,0.22834216899301796,2.0048301174203593,0.28060585354743195,0.28356370603530856,0.5331127047538757,0.3418151696297289,0.21756839135482406,0.11389601892395189,0.007669974761148995,1.6288417741998273,0.005811888999318767,0.009396583870455853,0.00485250784412012
13.0,0.638077991936321,0.5854749746197182,47.59248,47.59248,1.0,2.212211418113128,0.11369216241737486,0.5804931024804143,0.6789277459065455,0.27723914952330714,0.2511349264520069,0.3053275983664451,0.21327828982086028,0.33638463563182874,0.6646100165005211,0.2291085085016378,2.0115585308966155,0.28344827586206894,0.28398950131233597,0.5281601548194885,0.33572409389405283,0.21476867235765423,0.11389601892395189,0.00666822125704255,1.501766287128703,0.0051929718197074315,0.008069791823561911,0.004654245013948276
14.0,0.6395209341172395,0.6486509311140976,51.25344,51.25344,1.0,2.2353137155566842,0.11369216241737486,0.5747248171015209,0.680917946778684,0.27451358276986665,0.25427352705024525,0.3087369569752065,0.21768813851852584,0.34350710883689717,0.6643800728962513,0.2298412127000369,2.017991628429975,0.2772887323943662,0.2840923751773965,0.5304906964302063,0.3431713450706606,0.21964759982427454,0.11389601892395189,0.006854140263849626,1.633919285729462,0.005041334561342781,0.008605539435025985,0.0037954529905102796
15.0,0.6352655805656581,0.7766797948258586,54.9144,54.9144,1.0,2.261974576885234,0.11369216241737486,0.5768047759470641,0.6844559447678568,0.2787897203592201,0.25753921753550973,0.3121231244697327,0.22021405396463933,0.3501759912242933,0.6631165815454088,0.22862213319371427,2.0072881857825493,0.28018889138745223,0.28486730660643705,0.5385147333145142,0.34956732118609407,0.22245542505084992,0.11389601892395189,0.00666931257206045,1.6798232212559014,0.0047336364506625666,0.008564472384144869,0.004191956268712706
16.0,0.6395629299363874,0.7575544923520455,58.57536,58.57536,1.0,2.2698035088621267,0.11369216241737486,0.562620386073227,0.6865458808293259,0.27954168705333193,0.25859513262469336,0.31535040269026554,0.2090077845213791,0.3320562233304711,0.662697467505579,0.22840157294846777,2.005351680474196,0.27947700210133086,0.28325956782088,0.5170547366142273,0.331624951700329,0.2116267028650414,0.11389601892395189,0.006040134882801334,1.6108313839340553,0.004171095842463894,0.007889989999338312,0.0035089955594424602
17.0,0.6365773709277268,0.8335961686690625,62.23632,62.23632,1.0,2.294518415660455,0.11369216241737486,0.5774347729697182,0.6885676038984777,0.2792994908494394,0.2614339024057034,0.3128474327927872,0.2173543148873909,0.3446955777341216,0.6623335334050594,0.22883906935647355,2.009192871870867,0.28145366176957914,0.2839164359426126,0.5220487117767334,0.344161852996807,0.22015690196481394,0.11389601892395189,0.005781354826344921,1.626928226271957,0.004091635803262808,0.0074708426691339975,0.003432495610936756
18.0,0.6379307173205827,0.8935120484367902,65.89728,65.89728,1.0,2.3268454034736554,0.11369216241737486,0.5695769301986484,0.6905247320150942,0.2860720423546268,0.2652136614552926,0.31551070487127797,0.211482429175322,0.3365462492284889,0.6601558270442593,0.22851304551057158,2.006330402673242,0.2804137620868001,0.2829700775766531,0.516166090965271,0.33579599782211417,0.21482503234066633,0.11389601892395189,0.005686959845992195,1.6862272120752095,0.003919978043020008,0.0074784030094031525,0.003442470271667572
19.0,0.6323063545693497,0.8710382249650236,69.55824,69.55824,1.0,2.3508165569479123,0.11369216241737486,0.5904302850886264,0.6940252887372789,0.28472124714154734,0.26761308320242794,0.31856803244339776,0.2110739119946184,0.33401236654871064,0.6601132467544985,0.22696169031934785,1.9927096000685471,0.27643742953776773,0.27886092402221435,0.5094958543777466,0.3335217843899041,0.21479976411187132,0.11389601892395189,0.005293568261417902,1.6482284035591874,0.0036812292998594943,0.006945936247765773,0.004640310435016372
20.0,0.6422512273147979,1.304129299961881,73.2192,73.2192,1.0,2.3666646318255995,0.11369216241737486,0.5709584724163913,0.6958533046737331,0.29075510456144654,0.2696136269616635,0.31883612440323716,0.20509411659142315,0.3252152513034892,0.6588614138443243,0.22671594484906363,1.9905519700424414,0.27735695140426525,0.28001534330648253,0.5174363255500793,0.32541839453587706,0.20960112669168973,0.11389601892395189,0.005650882440602963,1.841687475454819,0.003519340134394707,0.007872026299064838,0.004560261893674334
