round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_auroc,fed_f1_best,fed_ece,fed_brier,fed_f1,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.15919780416116106,0.0404004920050702,21.90336,21.90336,0.0,0.26336415265799035,0.11412564522220824,0.705076255195998,0.338495306793251,0.3713297775261696,0.23325255288409893,0.30429622910943877,2.3780692593454273,0.5307193694060056,0.6617542130642905,0.22491925566232857,1.9747771501346911,0.27469405594405594,0.28143604546274575,0.5081437230110168,0.3843430312874153,0.2471082733379874,0.11389601892395189,0.0,0.0,,
12.0,0.1547229797289062,0.044761138981872825,21.90336,21.90336,0.0,0.27852729061315185,0.11412564522220824,0.7168316042668821,0.3509543317702396,0.37571270405931023,0.23637140734511206,0.3004257772139429,2.5207092540580947,0.5359182393788751,0.6617542130642905,0.22491925566232857,1.9747771501346911,0.27469405594405594,0.28143604546274575,0.5081437230110168,0.3843430312874153,0.2471082733379874,0.11389601892395189,0.0,0.0,,
13.0,0.16271209867616837,0.038372929726113336,25.55392,25.55392,0.9971592150692714,0.23724589029548215,0.11412564522220824,0.679405734256323,0.31379437650044684,0.37944806921895563,0.24055520978619555,0.2753655539661617,2.1204260563968536,0.5358309728979509,0.6614159049442279,0.22465278861387972,1.972437585934236,0.2661582814098391,0.2806287563569117,0.5054531693458557,0.38452310413249674,0.24657509651827725,0.11389601892395189,0.009177862105594084,1.3331137696513906,0.007194188151240679,0.010733199743740122
14.0,0.16128747836450413,0.040017229084226384,25.55392,25.55392,0.0,0.2527959013638762,0.11412564522220824,0.6952979108487408,0.327476370655101,0.37092618704363695,0.23327057814480384,0.2980804972191442,2.271713021705014,0.5221610474793599,0.6614159049442279,0.22465278861387972,1.972437585934236,0.2661582814098391,0.2806287563569117,0.5054531693458557,0.38452310413249674,0.24657509651827725,0.11389601892395189,0.0,0.0,,
15.0,0.15778074007278425,0.044025402189791875,25.55392,25.55392,0.0,0.26600944047838976,0.11412564522220824,0.7068641601043195,0.34065408627748633,0.37080285318658257,0.23295426142174896,0.30494886004388355,2.404081542410625,0.5294760060928696,0.6614159049442279,0.22465278861387972,1.972437585934236,0.2661582814098391,0.2806287563569117,0.5054531693458557,0.38452310413249674,0.24657509651827725,0.11389601892395189,0.0,0.0,,
16.0,0.15396132073734253,0.053465348418530456,25.55392,25.55392,0.0,0.2801507351678367,0.11412564522220824,0.716077910840907,0.35392276942053136,0.3689154139186998,0.2304862888564208,0.30791792557456965,2.5365760852008847,0.5376738894613086,0.6614159049442279,0.22465278861387972,1.972437585934236,0.2661582814098391,0.2806287563569117,0.5054531693458557,0.38452310413249674,0.24657509651827725,0.11389601892395189,0.0,0.0,,
17.0,0.16131499220221196,0.0448959044920354,29.20448,29.20448,0.9971592150692714,0.23976317747019932,0.11412564522220824,0.6816153867415985,0.3149891819116567,0.37722537105819326,0.23910076540825587,0.2803838017858034,2.143164057741548,0.5265987451927767,0.6614352436493625,0.22517721300256,1.9770419996234487,0.2719984163119865,0.28192839018889204,0.5071819424629211,0.3827659779777764,0.24553822129140357,0.11389601892395189,0.008576379388019332,1.3214441225863993,0.006619037666584234,0.010135727085860429
18.0,0.1620822360848878,0.04061930761214501,29.20448,29.20448,0.0,0.25415755126535233,0.11412564522220824,0.6967925977066397,0.3276928057976988,0.37570577967843016,0.2369233670490238,0.29167201663774545,2.281841167511577,0.5294390301755133,0.6614352436493625,0.22517721300256,1.9770419996234487,0.2719984163119865,0.28192839018889204,0.5071819424629211,0.3827659779777764,0.24553822129140357,0.11389601892395189,0.0,0.0,,
19.0,0.15687815837986407,0.04459906746441282,29.20448,29.20448,0.0,0.2701521659072278,0.11412564522220824,0.7105476792382116,0.3428302298118905,0.3710165141429647,0.2325902724176725,0.3038402351193082,2.4369555299132877,0.5285035991201948,0.6614352436493625,0.22517721300256,1.9770419996234487,0.2719984163119865,0.28192839018889204,0.5071819424629211,0.3827659779777764,0.24553822129140357,0.11389601892395189,0.0,0.0,,
20.0,0.1517361233381243,0.04806945366893721,29.20448,29.20448,0.0,0.28541990832126624,0.11412564522220824,0.7213274698486151,0.3563251651090967,0.3659144476178977,0.22789408344142026,0.3113544439382142,2.5868782564610364,0.537871905452551,0.6614352436493625,0.22517721300256,1.9770419996234487,0.2719984163119865,0.28192839018889204,0.5071819424629211,0.3827659779777764,0.24553822129140357,0.11389601892395189,0.0,0.0,,
