round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_auprc,fed_prevalence,fed_f1_best,fed_f1,fed_brier,fed_f1_best_threshold,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,9.007539057501718,558.4499599267687,21.90336,21.90336,0.0,2.1113196009090287,0.24013314147281545,0.11381806735914383,0.31784479190432674,0.29327952809247004,0.23382847594355677,0.5719841620702206,0.3709961711103375,0.675102173578212,0.587964252535328,0.1447038129369087,1.270490525516323,0.12235041588408908,0.23553868402024586,0.4912155866622925,0.3773727341560169,0.24287604662802345,0.11389601892395189,0.0,0.0,,
12.0,8.859527841213156,699.1195056811691,21.90336,21.90336,0.0,2.2357211261227152,0.2539881553532487,0.11381806735914383,0.3260345129043046,0.29837701202730704,0.23716707658191766,0.56951686610281,0.37628273390770567,0.6885328286135278,0.587964252535328,0.1447038129369087,1.270490525516323,0.12235041588408908,0.23553868402024586,0.4912155866622925,0.3773727341560169,0.24287604662802345,0.11389601892395189,0.0,0.0,,
13.0,9.527405721350577,615.3693659970955,25.55392,25.55392,0.9971592150692714,2.0043611276671562,0.2302526795383411,0.11381806735914383,0.2942009521987682,0.2644589819537807,0.24803096840030792,0.5804902034076762,0.38683127768204045,0.6595568583515976,0.5765478531427015,0.1391766965784759,1.2219627858231275,0.13827277017461068,0.23146473779385168,0.49144649505615234,0.3779246769854861,0.24337415672973622,0.11389601892395189,0.007828137459502064,1.132369938539341,0.006985883729817871,0.00846141305786471
14.0,9.41963814160734,560.1990756426355,25.55392,25.55392,0.0,2.0619197728668124,0.23584249575700478,0.11381806735914383,0.3043732860718961,0.2812552513529215,0.24171530549176629,0.5625751033345595,0.3799917550686586,0.669026803189108,0.5765478531427015,0.1391766965784759,1.2219627858231275,0.13827277017461068,0.23146473779385168,0.49144649505615234,0.3779246769854861,0.24337415672973622,0.11389601892395189,0.0,0.0,,
15.0,8.898620112218211,603.3355152630454,25.55392,25.55392,0.0,2.1494708752101155,0.24496269910521176,0.11381806735914383,0.31657403941379897,0.29605194676687446,0.2354990149609077,0.5552381221475864,0.3731905434429551,0.6757806610616194,0.5765478531427015,0.1391766965784759,1.2219627858231275,0.13827277017461068,0.23146473779385168,0.49144649505615234,0.3779246769854861,0.24337415672973622,0.11389601892395189,0.0,0.0,,
16.0,8.534576712155841,587.3869325452526,25.55392,25.55392,0.0,2.1725246251658947,0.2476477435440992,0.11381806735914383,0.32658867152386484,0.29475243579953486,0.23991044962546768,0.5636457204706158,0.37903905991754483,0.6851204439406247,0.5765478531427015,0.1391766965784759,1.2219627858231275,0.13827277017461068,0.23146473779385168,0.49144649505615234,0.3779246769854861,0.24337415672973622,0.11389601892395189,0.0,0.0,,
17.0,9.353767723336864,686.8701465688307,29.20448,29.20448,0.9971592150692714,2.012597910012126,0.2302983516689628,0.11381806735914383,0.29400401666007786,0.26597085817662197,0.2445818389331964,0.5541331510368216,0.38257591719893036,0.6612490612680413,0.6253069407654333,0.15362402672756054,1.3488094507511712,0.1224381155177003,0.2642317894307284,0.4900166094303131,0.3748118508185478,0.2408224499480362,0.11389601892395189,0.00850767234161343,1.2909677480347455,0.0070014277945235435,0.009652976118446593
18.0,9.227740909218108,881.5141949918245,29.20448,29.20448,0.0,2.094128592691861,0.23848713641402894,0.11381806735914383,0.30529923725858427,0.2774176520767825,0.24185741822577314,0.5618901770126906,0.3801511533330888,0.6726430273615919,0.6253069407654333,0.15362402672756054,1.3488094507511712,0.1224381155177003,0.2642317894307284,0.4900166094303131,0.3748118508185478,0.2408224499480362,0.11389601892395189,0.0,0.0,,
19.0,8.94426678757963,677.1888328261355,29.20448,29.20448,0.0,2.107207178064657,0.239428145766021,0.11381806735914383,0.31296425070562883,0.2928580809205933,0.2341692278426647,0.5373388383086087,0.370902129504003,0.6797627226907169,0.6253069407654333,0.15362402672756054,1.3488094507511712,0.1224381155177003,0.2642317894307284,0.4900166094303131,0.3748118508185478,0.2408224499480362,0.11389601892395189,0.0,0.0,,
20.0,8.469091622499965,747.8707552693022,29.20448,29.20448,0.0,2.233279064844769,0.2523764447910504,0.11381806735914383,0.3271056442173033,0.30744991047103554,0.23326825011121877,0.5675409880681048,0.371118232571257,0.6908981103665456,0.6253069407654333,0.15362402672756054,1.3488094507511712,0.1224381155177003,0.2642317894307284,0.4900166094303131,0.3748118508185478,0.2408224499480362,0.11389601892395189,0.0,0.0,,
21.0,9.337813716244579,699.6710260808959,32.85504,32.85504,0.9971592150692714,2.02738994314253,0.2320629468673939,0.11381806735914383,0.29763456516238573,0.26902008749835127,0.24210145370308928,0.5810846909022309,0.37948001622778454,0.663371109560032,0.6360769680966333,0.161037473719643,1.4138990567103786,0.10200364298724955,0.2749190356243253,0.4898824989795685,0.37393700624875414,0.2401373357287781,0.11389601892395189,0.008468907587680723,1.351456116186455,0.006843376487732217,0.009717716741479327
22.0,9.276747644378265,987.1847551549338,32.85504,32.85504,0.0,2.084363967312453,0.2381068782383736,0.11381806735914383,0.30923765330932795,0.28864478364738383,0.23919956876314288,0.5803187078412014,0.3770027380170483,0.6736539898922377,0.6360769680966333,0.161037473719643,1.4138990567103786,0.10200364298724955,0.2749190356243253,0.4898824989795685,0.37393700624875414,0.2401373357287781,0.11389601892395189,0.0,0.0,,
23.0,8.804617093957857,658.2949942429041,32.85504,32.85504,0.0,2.128255330736327,0.2428513930386382,0.11381806735914383,0.31828538882284824,0.3024424167729937,0.2345347623796633,0.5538389914509332,0.3721388706685913,0.6809041531489628,0.6360769680966333,0.161037473719643,1.4138990567103786,0.10200364298724955,0.2749190356243253,0.4898824989795685,0.37393700624875414,0.2401373357287781,0.11389601892395189,0.0,0.0,,
24.0,8.504181068275079,650.9445388048888,32.85504,32.85504,0.0,2.216166721563183,0.25156459392057107,0.11381806735914383,0.32941088549378733,0.29932364305347114,0.2379246924166808,0.5764851557821984,0.3771842733827596,0.6886191335463852,0.6360769680966333,0.161037473719643,1.4138990567103786,0.10200364298724955,0.2749190356243253,0.4898824989795685,0.37393700624875414,0.2401373357287781,0.11389601892395189,0.0,0.0,,
25.0,9.379766334842198,755.8440193510878,36.5056,36.5056,0.9971592150692714,2.034694165688185,0.2328625505900613,0.11381806735914383,0.2988155663567038,0.2743966406499547,0.23326984096837936,0.5373351595106836,0.36801559414396806,0.6641477416908578,0.6362289294077779,0.16250156108191627,1.4267536531756935,0.14432473064394888,0.27585365853658533,0.4892466962337494,0.37386671025593793,0.2400533752828815,0.11389601892395189,0.007232830009570674,1.2205248610116541,0.005777595345943586,0.00835302376867142
