round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_brier,fed_prevalence,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
18.0,0.15597781407863368,0.13354046324951216,38.37952,38.37952,0.5412350858791136,0.3302162873377673,0.2944478512233561,0.23824014143611244,0.11404116055132484,0.2774382971407264,0.37916121081964843,0.5372334686255351,2.4546423467842575,0.7081356840979302,0.5403712850673722,0.15299851960414365,1.3433175369044321,0.2045002711006687,0.20645003664793551,0.5248477458953857,0.41506598368523323,0.2729620154348659,0.11389601892395189,0.007485977966529072,0.879792557680048,,0.007485977966529072
19.0,0.1501033884983277,0.20869089901587273,40.36096,40.36096,0.5412350858791136,0.33860961051270944,0.31125663297613615,0.22467004519837225,0.11404116055132484,0.2892662969681077,0.36115309534633916,0.5244203903045008,2.562714069523955,0.7132642681368153,0.5142371020123346,0.13580080527790225,1.1923226690528679,0.2045002711006687,0.205853753403345,0.5208642482757568,0.4139761437832892,0.2722026005193683,0.11389601892395189,0.008393744474204604,1.0291899242438376,,0.008393744474204604
20.0,0.16116110410545562,0.1416414256224076,44.01152,44.01152,0.9971592150692714,0.3006638834737134,0.2786253066342085,0.24092437280358694,0.11404116055132484,0.2376241812455863,0.3796153638976825,0.5166891784937013,2.079379229944983,0.6735241895137725,0.5311998696463348,0.13319009642087673,1.1694008067991162,0.2045002711006687,0.20857243236912987,0.5219234228134155,0.4115276393847662,0.2701773897130263,0.11389601892395189,0.006908093713947372,1.275068026210647,0.00976477371900916,0.005644448344333385
21.0,0.1624305188199951,0.06606359873227985,45.99296,45.99296,0.5412350858791136,0.31632724540808393,0.2907945512228912,0.2347147978619668,0.11404116055132484,0.2556550857032101,0.3727211454353696,0.5278815989437604,2.2424139659769744,0.689799115582457,0.5011214692054776,0.11703518909940643,1.0275617199364147,0.2045002711006687,0.2058837644574555,0.5190832018852234,0.4124338540045002,0.27107590338172227,0.11389601892395189,0.0046065215260758475,0.6003710272489116,,0.0046065215260758475
22.0,0.15475634333865945,0.06060696277896116,47.9744,47.9744,0.5412350858791136,0.32840900912552196,0.2911761946935086,0.23766493941133468,0.11404116055132484,0.27137289766686873,0.37743093271249956,0.5341268771901457,2.3932710620080293,0.7017888673354217,0.535959249219512,0.14768571787680998,1.2966714664137593,0.2045002711006687,0.20813060871445563,0.5204536318778992,0.41108967936736746,0.26972555880665144,0.11389601892395189,0.0053360703701971855,0.715507710527163,,0.0053360703701971855
23.0,0.1516695198269446,0.08370870703909289,49.95584,49.95584,0.5412350858791136,0.34079870612592644,0.3000091661987343,0.23268050856546313,0.11404116055132484,0.2864559882666958,0.3720851612825197,0.5393526608933135,2.536447710046735,0.7137422955389474,0.5289744879183667,0.13809570811954996,1.2124717740288724,0.2045002711006687,0.2087169389601405,0.5211026668548584,0.41273384023681065,0.2711189660382986,0.11389601892395189,0.005657740524769771,0.7801864909706637,,0.005657740524769771
24.0,0.15129754629272105,0.14031780553447146,51.93728,51.93728,0.5412350858791136,0.3498104650851474,0.3034851340187175,0.23181300964451748,0.11404116055132484,0.30570635371742105,0.37177405192950086,0.5335209486269054,2.71540576942623,0.7228503464989633,0.544660060200222,0.15478383561930908,1.3589925010694,0.2045002711006687,0.213295370141124,0.5234777331352234,0.41191675216732027,0.2703476483710992,0.11389601892395189,0.00771576262688356,1.1038396179210395,,0.00771576262688356
25.0,0.16490827607002168,0.13797990430646587,53.6064,53.6064,0.4559241291901578,0.3068149437822607,0.2758193760987428,0.23953134840212936,0.11404116055132484,0.24285785537417376,0.37816021838871067,0.5304206289119812,2.122645906336411,0.6801932291107455,0.5579235882958592,0.16336985610362534,1.4343772297494175,0.2045002711006687,0.21501068376068377,0.524104118347168,0.41198266850269477,0.2703734712581408,0.11389601892395189,0.008438411885466878,0.5154794410336763,0.008438411885466878,
26.0,0.1592462692707548,0.08915255820706,55.58784,55.58784,0.5412350858791136,0.31517970837311654,0.29050672109822956,0.23214178472794259,0.11404116055132484,0.25357780670012225,0.3690924768591853,0.523632367683317,2.223976711158935,0.6921781845620992,0.561233317951052,0.1750681832768899,1.5370878186162285,0.2045002711006687,0.2140629971364938,0.5250219702720642,0.4135563405724403,0.2716097943074443,0.11389601892395189,0.00459350036619057,0.6845025712391362,,0.00459350036619057
27.0,0.15563235962205538,0.0791391021009399,57.56928,57.56928,0.5412350858791136,0.3305452020313307,0.3011802747416596,0.23107621200635722,0.11404116055132484,0.27351762374550803,0.3691794772198851,0.5225933091036814,2.4128260943739748,0.7075577647399593,0.5629110918028035,0.17152118717592196,1.505945412283868,0.2045002711006687,0.213974358974359,0.5242343544960022,0.4130786905033586,0.2711903839085775,0.11389601892395189,0.005684471132894398,0.8684903600951657,,0.005684471132894398
